StakeWithUs,0.001066,2487000000uatom,214025114655uatom
COS_Validator,0.001008,2000000uatom,202425133557uatom
🐡grant.fish,0.000995,100000000000uatom,199775262375uatom
Binary Holdings,0.000983,445000000uatom,197454226889uatom
Huobi,0.000970,1000000uatom,194791822745uatom
ChainUp,0.000937,1000000uatom,188236562040uatom
Twinstake-Validator,0.000925,1000000uatom,185755532926uatom
Just-Mining,0.000909,1998800uatom,182509515589uatom
Smart Stake,0.000903,1556000000uatom,181369452594uatom
Stakely.io,0.000896,63000000uatom,179861375873uatom
Citizen Cosmos,0.000894,49267145uatom,179532906660uatom
in3s.com,0.000860,1000000uatom,172756052139uatom
PUPMØS,0.000858,10000000uatom,172318198745uatom
Oni ⛩️,0.000824,107242471uatom,165553309720uatom
coinhall.org 📈🔄,0.000813,1000000uatom,163240670312uatom
Klub Staking,0.000809,1000000uatom,162511558181uatom
Ztake.org,0.000808,149985000uatom,162216138942uatom
cros-nest,0.000783,1147900001uatom,157300079455uatom
jabbey,0.000777,0uatom,156022376925uatom
Easy 2 Stake,0.000775,9678026666uatom,155644560347uatom
GATA DAO,0.000766,77000000uatom,153869293284uatom
commercio.network,0.000760,3948000000uatom,152632502010uatom
NEOPLY,0.000747,1000000uatom,150112149979uatom
Blocks United | blocksunited.com,0.000747,499950008uatom,149945377560uatom
KIRA Staking,0.000728,1000000uatom,146264775213uatom
Silk Nodes,0.000702,1000000uatom,141042890744uatom
CryptoCrew Validators ✅,0.000685,1030750000uatom,137644554458uatom
AIR DROP STATION,0.000685,1000000uatom,137478506297uatom
Moonstake,0.000684,999600uatom,137455495211uatom
Stargaze,0.000681,25133644555uatom,136741951164uatom
CEX.IO ❤️🇺🇦,0.000668,1000000uatom,134118506615uatom
danku_zone w/ DAIC,0.000665,1100000uatom,133643294940uatom
BitValidator,0.000665,1000000uatom,133592971717uatom
blockscape,0.000650,6887546955uatom,130498219625uatom
Ping,0.000645,15600000000uatom,129580342932uatom
Castlenode,0.000624,1000000uatom,125364241836uatom
debo-validator,0.000611,24329999929uatom,122803501636uatom
Chainflow,0.000602,35617872936uatom,120821845430uatom
Any Labs,0.000601,999700uatom,120661486947uatom
Terra Nodes,0.000598,1880733950uatom,120063967212uatom
MANTRA DAO,0.000565,887822410uatom,113419124558uatom
Chill Validation,0.000550,380654867uatom,110515524315uatom
Fanfury | fury.fan | Stake to Win,0.000543,1000000uatom,109059541432uatom
Coinbase Cloud,0.000539,18960092871uatom,108287426453uatom
IcyCRO 🧊,0.000529,2888465567uatom,106213887337uatom
stake.systems,0.000529,5112000000uatom,106184759848uatom
zoomerlabs,0.000506,502000000uatom,101594685151uatom
TienThuatToan Capital,0.000502,1000000uatom,100814646791uatom
Compass,0.000481,15267561312uatom,96573102823uatom
a41,0.000470,70983000000uatom,94424951424uatom
StakeSeeker by BTCS,0.000465,100000uatom,93339107961uatom
CROSSTECH,0.
