StakeWithUs,0.001064,2487000000uatom,213553451083uatom
COS_Validator,0.001008,2000000uatom,202425123684uatom
🐡grant.fish,0.000995,100000000000uatom,199775262375uatom
Binary Holdings,0.000983,445000000uatom,197383160476uatom
Huobi,0.000970,1000000uatom,194760716362uatom
ChainUp,0.000938,1000000uatom,188230204780uatom
Twinstake-Validator,0.000925,1000000uatom,185755532926uatom
in3s.com,0.000912,10716657840uatom,183100587836uatom
Just-Mining,0.000907,1998800uatom,182167754449uatom
Smart Stake,0.000903,1556000000uatom,181397094219uatom
Stakely.io,0.000900,63000000uatom,180670683725uatom
Citizen Cosmos,0.000894,49267145uatom,179532235344uatom
PUPMØS,0.000861,10000000uatom,172892376706uatom
Oni ⛩️,0.000821,107136965uatom,164902841521uatom
coinhall.org 📈🔄,0.000813,1000000uatom,163239661482uatom
Ztake.org,0.000808,149985000uatom,162225669819uatom
Klub Staking,0.000808,1000000uatom,162187498756uatom
cros-nest,0.000785,1147900001uatom,157593863825uatom
jabbey,0.000777,0uatom,156083335760uatom
Easy 2 Stake,0.000775,9678026666uatom,155649559276uatom
GATA DAO,0.000765,77000000uatom,153545115567uatom
commercio.network,0.000760,3948000000uatom,152628822290uatom
NEOPLY,0.000748,1000000uatom,150112149979uatom
Blocks United | blocksunited.com,0.000746,499950008uatom,149809845817uatom
KIRA Staking,0.000728,1000000uatom,146253076534uatom
Silk Nodes,0.000701,1000000uatom,140764305376uatom
CryptoCrew Validators ✅,0.000685,1030750000uatom,137584850857uatom
AIR DROP STATION,0.000685,1000000uatom,137475046964uatom
Moonstake,0.000684,999600uatom,137391175349uatom
Stargaze,0.000681,25133644555uatom,136741586270uatom
CEX.IO ❤️🇺🇦,0.000668,1000000uatom,134117943652uatom
BitValidator,0.000665,1000000uatom,133592971717uatom
danku_zone w/ DAIC,0.000665,1100000uatom,133479468252uatom
blockscape,0.000650,6872095134uatom,130463544365uatom
Ping,0.000645,15600000000uatom,129483159829uatom
Castlenode,0.000624,1000000uatom,125311684334uatom
debo-validator,0.000612,24329999929uatom,122817085294uatom
Chainflow,0.000602,35617872936uatom,120917131899uatom
Any Labs,0.000601,999700uatom,120660266261uatom
Terra Nodes,0.000598,1880733950uatom,120139561104uatom
MANTRA DAO,0.000563,887822410uatom,113132895462uatom
Chill Validation,0.000550,380654867uatom,110509281486uatom
Fanfury | fury.fan | Stake to Win,0.000543,1000000uatom,109046490818uatom
Coinbase Cloud,0.000539,18960092871uatom,108301887182uatom
IcyCRO 🧊,0.000523,2883465567uatom,105004021733uatom
stake.systems,0.000518,5112000000uatom,103997758848uatom
zoomerlabs,0.000506,502000000uatom,101594685151uatom
Compass,0.000481,15267561312uatom,96567502823uatom
a41,0.000470,70983000000uatom,94424346708uatom
TienThuatToan Capital,0.000470,1000000uatom,94394747045uatom
StakeSeeker by BTCS,0.000465,100000uatom,93339107961uatom
CROSSTECH,
